Categorie: Alle categorieën

Week,vaadin: (Wereldwijd),angular: (Wereldwijd)
2018-04-22,1,96
2018-04-29,1,86
2018-05-06,1,96
2018-05-13,1,98
2018-05-20,1,94
2018-05-27,1,92
2018-06-03,1,94
2018-06-10,1,93
2018-06-17,1,93
2018-06-24,1,91
2018-07-01,1,89
2018-07-08,1,93
2018-07-15,1,94
2018-07-22,1,92
2018-07-29,1,94
2018-08-05,1,91
2018-08-12,1,85
2018-08-19,1,88
2018-08-26,1,91
2018-09-02,1,92
2018-09-09,1,89
2018-09-16,1,95
2018-09-23,1,94
2018-09-30,1,89
2018-10-07,1,93
2018-10-14,1,96
2018-10-21,1,100
2018-10-28,1,92
2018-11-04,1,86
2018-11-11,1,97
2018-11-18,1,90
2018-11-25,1,97
2018-12-02,1,95
2018-12-09,1,91
2018-12-16,1,85
2018-12-23,1,59
2018-12-30,1,63
2019-01-06,1,87
2019-01-13,1,84
2019-01-20,1,90
2019-01-27,1,92
2019-02-03,1,92
2019-02-10,1,95
2019-02-17,1,96
2019-02-24,1,94
2019-03-03,1,94
2019-03-10,1,96
2019-03-17,1,92
2019-03-24,1,97
2019-03-31,1,97
2019-04-07,1,97
2019-04-14,1,94
